movie_title,imdb_rating
Dangal,8.2
Full Metal Jacket,8.2
The Father,8.2
A Clockwork Orange,8.2
Metropolis,8.2
The Apartment,8.2
Taxi Driver,8.2
Incendies,8.2
Double Indemnity,8.2
The Sting,8.2
A Separation,8.2
1917,8.2
Scarface,8.2
Snatch,8.2
Amélie,8.2
Toy Story 3,8.2
To Kill a Mockingbird,8.2
For a Few Dollars More,8.2
Up,8.2
Indiana Jones and the Last Crusade,8.2
L.A. Confidential,8.2
Heat,8.2
Rashomon,8.2
Yojimbo,8.2
Ran,8.2
Die Hard,8.2
Green Book,8.2
Downfall,8.2
Monty Python and the Holy Grail,8.2
All About Eve,8.2
Some Like It Hot,8.2
Batman Begins,8.2
Unforgiven,8.2
Children of Heaven,8.2
Howl's Moving Castle,8.2
The Wolf of Wall Street,8.2
The Great Escape,8.2
Judgment at Nuremberg,8.2
Casino,8.2
There Will Be Blood,8.2
The Treasure of the Sierra Madre,8.2
Pan's Labyrinth,8.2
A Beautiful Mind,8.1
The Secret in Their Eyes,8.1
Raging Bull,8.1
My Neighbor Totoro,8.1
Chinatown,8.1
"Lock, Stock and Two Smoking Barrels",8.1
The Gold Rush,8.1
Shutter Island,8.1
No Country for Old Men,8.1
Dial M for Murder,8.1
"Three Billboards Outside Ebbing, Missouri",8.1
The Seventh Seal,8.1
The Elephant Man,8.1
The Thing,8.1
The Sixth Sense,8.1
Klaus,8.1
The Third Man,8.1
Wild Strawberries,8.1
V for Vendetta,8.1
Inside Out,8.1
Jurassic Park,8.1
The Truman Show,8.1
Blade Runner,8.1
Memories of Murder,8.1
Trainspotting,8.1
The Bridge on the River Kwai,8.1
Warrior,8.1
Fargo,8.1
Finding Nemo,8.1
Gone with the Wind,8.1
My Father and My Son,8.1
Kill Bill: Vol. 1,8.1
Tokyo Story,8.1
On the Waterfront,8.1
Stalker,8.1
Wild Tales,8.1
The General,8.1
Sherlock Jr.,8.1
The Deer Hunter,8.1
Gran Torino,8.1
Persona,8.1
The Grand Budapest Hotel,8.1
Before Sunrise,8.1
Prisoners,8.1
Mary and Max,8.1
Room,8.1
In the Name of the Father,8.1
Mr. Smith Goes to Washington,8.1
Catch Me If You Can,8.1
Gone Girl,8.1
Barry Lyndon,8.1
Hacksaw Ridge,8.1
Andhadhun,8.1
To Be or Not to Be,8.1
The Passion of Joan of Arc,8.1
Ford v Ferrari,8.1
12 Years a Slave,8.1
The Big Lebowski,8.1
How to Train Your Dragon,8.1
Mad Max: Fury Road,8.1
Dead Poets Society,8.1
Ben-Hur,8.1
Million Dollar Baby,8.1
The Wages of Fear,8.1
Autumn Sonata,8.1
Harry Potter and the Deathly Hallows: Part 2,8.1
Network,8.1
Stand by Me,8.1
The Handmaiden,8.1
Cool Hand Luke,8.1
The 400 Blows,8.1
Logan,8.1
Hachi: A Dog's Tale,8.0
La Haine,8.0
Platoon,8.0
The Bandit,8.0
Gangs of Wasseypur,8.0
Spotlight,8.0
Monty Python's Life of Brian,8.0
A Silent Voice: The Movie,8.0
"Monsters, Inc.",8.0
Rebecca,8.0
Hotel Rwanda,8.0
Rush,8.0
Andrei Rublev,8.0
Into the Wild,8.0
In the Mood for Love,8.0
Love's a Bitch,8.0
Rocky,8.0
Neon Genesis Evangelion: The End of Evangelion,8.0
It Happened One Night,8.0
Nausicaä of the Valley of the Wind,8.0
The Battle of Algiers,8.0
Before Sunset,8.0
Demon Slayer: Mugen Train,8.0
Fanny and Alexander,8.0
Three Colors: Red,8.0
"Paris, Texas",8.0
The Princess Bride,8.0
Rififi,8.0
Nights of Cabiria,8.0
Sunrise,8.0
Raatchasan,8.0
Hera Pheri,8.0
